strategy,seed,round,trial,x1,x2,branin,neg_branin,rejected_before,feasible,hv,best_branin,best_neg_branin
lhs,8,0,0,4.678082,9.3073159,72.485504,-72.485504,0,True,21437.365,72.485504,-72.485504
lhs,8,0,1,-0.75986187,9.3463714,21.214463,-21.214463,0,True,23280.6,21.214463,-72.485504
lhs,8,0,2,8.4995912,4.3802628,10.853685,-10.853685,0,True,23545.732,10.853685,-72.485504
lhs,8,0,3,-4.7216807,5.1965959,135.49039,-135.49039,0,True,35061.444,10.853685,-135.49039
lhs,8,0,4,7.8847236,0.1493638,11.481649,-11.481649,0,True,35067.556,10.853685,-135.49039
lhs,8,0,5,1.941753,1.7502736,9.229825,-9.229825,0,True,35106.473,9.229825,-135.49039
lhs,8,0,6,-1.0162693,0.53113246,67.180446,-67.180446,0,True,35350.325,9.229825,-135.49039
lhs,8,0,7,0.2668083,3.5763624,23.295212,-23.295212,0,True,35441.64,9.229825,-135.49039
lhs,8,0,8,8.7912891,10.14061,68.653009,-68.653009,0,True,35447.283,9.229825,-135.49039
lhs,8,1,9,-0.065958069,12.956109,66.511558,-66.511558,0,True,35476.19,9.229825,-135.49039
lhs,8,1,10,-4.1287605,7.1228368,63.23816,-63.23816,0,True,35606.939,9.229825,-135.49039
lhs,8,1,11,-4.4653215,4.0713671,142.47248,-142.47248,0,True,36834.339,9.229825,-142.47248
lhs,8,1,12,4.4044978,1.2889836,7.133002,-7.133002,0,True,36880.195,7.133002,-142.47248
lhs,8,1,13,6.2744613,3.8090105,26.941937,-26.941937,0,True,37012.558,7.133002,-142.47248
lhs,8,1,14,-2.8471564,5.8275251,33.885951,-33.885951,0,True,37216.38,7.133002,-142.47248
lhs,8,1,15,4.2200726,11.239507,98.686442,-98.686442,0,True,38180.678,7.133002,-142.47248
lhs,8,1,16,-0.61057911,8.3878172,19.738288,-19.738288,0,True,38192.866,7.133002,-142.47248
lhs,8,1,17,5.6945348,14.72447,202.90365,-202.90365,0,True,45164.305,7.133002,-202.90365
lhs,8,2,18,3.762107,7.7123352,36.662526,-36.662526,0,True,45238.094,7.133002,-202.90365
lhs,8,2,19,3.3881614,0.94197908,2.0075469,-2.0075469,0,True,45323.914,2.0075469,-202.90365
lhs,8,2,20,5.0370934,12.480164,138.93465,-138.93465,0,True,45336.099,2.0075469,-202.90365
lhs,8,2,21,-2.0443505,8.0927392,8.5138445,-8.5138445,0,True,45337.088,2.0075469,-202.90365
lhs,8,2,22,5.5863189,14.074997,184.66329,-184.66329,0,True,46106.664,2.0075469,-202.90365
lhs,8,2,23,0.57098047,7.5258956,23.803108,-23.803108,0,True,46108.258,2.0075469,-202.90365
lhs,8,2,24,-3.7285319,6.8879505,48.819354,-48.819354,0,True,46283.545,2.0075469,-202.90365
lhs,8,2,25,3.1383611,1.4728901,1.0453691,-1.0453691,0,True,46298.73,1.0453691,-202.90365
lhs,8,2,26,8.0845638,14.420409,172.77049,-172.77049,0,True,46659.058,1.0453691,-202.90365
lhs,8,3,27,1.4382556,2.1549905,14.592944,-14.592944,0,True,46675.066,1.0453691,-202.90365
lhs,8,3,28,2.2001391,3.2406905,4.3617528,-4.3617528,0,True,46681.591,1.0453691,-202.90365
lhs,8,3,29,9.3980369,5.3820876,8.9835943,-8.9835943,0,True,46681.706,1.0453691,-202.90365
lhs,8,3,30,9.7824231,6.005289,11.322955,-11.322955,0,True,46681.781,1.0453691,-202.90365
lhs,8,3,31,-1.8072896,10.584143,9.4035489,-9.4035489,0,True,46682.033,1.0453691,-202.90365
lhs,8,3,32,9.1834031,11.434945,84.509009,-84.509009,0,True,46852.495,1.0453691,-202.90365
lhs,8,3,33,0.91522238,4.8265753,15.884206,-15.884206,0,True,46857.472,1.0453691,-202.90365
lhs,8,3,34,1.1442987,8.9372457,35.033893,-35.033893,0,True,46859.341,1.0453691,-202.90365
lhs,8,3,35,2.5242297,10.678878,64.157398,-64.157398,0,True,46861.505,1.0453691,-202.90365
lhs,8,4,36,2.72349,13.472468,118.922,-118.922,0,True,47196.776,1.0453691,-202.90365
lhs,8,4,37,6.568067,13.314024,167.92024,-167.92024,0,True,47320.204,1.0453691,-202.90365
lhs,8,4,38,-2.5219623,13.812632,11.046423,-11.046423,0,True,47320.257,1.0453691,-202.90365
lhs,8,4,39,7.3353424,2.7879562,17.044246,-17.044246,0,True,47323.383,1.0453691,-202.90365
lhs,8,4,40,6.6787951,12.142621,140.07638,-140.07638,0,True,47326.118,1.0453691,-202.90365
lhs,8,4,41,-3.3992282,9.9043843,9.7049094,-9.7049094,0,True,47326.465,1.0453691,-202.90365
lhs,8,4,42,-1.6595163,2.4144578,52.478758,-52.478758,0,True,47365.837,1.0453691,-202.90365
lhs,8,4,43,7.2101127,11.889683,129.1692,-129.1692,0,True,47430.612,1.0453691,-202.90365
lhs,8,4,44,-3.0477041,6.5078536,31.161129,-31.161129,0,True,47442.109,1.0453691,-202.90365
