strategy,seed,round,trial,x1,x2,branin,currin,rejected_before,feasible,hv,best_branin,best_currin
random,4,0,0,0.94305611,0.51132755,30.147055,6.3839206,0,True,2317.1761,30.147055,6.3839206
random,4,0,1,0.97624371,0.080836024,2.7389892,10.178374,0,True,2433.6055,2.7389892,6.3839206
random,4,0,2,0.60735583,0.37648658,20.61442,8.1644481,0,True,2452.8035,2.7389892,6.3839206
random,4,0,3,0.80190121,0.17452782,19.079531,9.8641674,0,True,2453.2858,2.7389892,6.3839206
random,4,0,4,0.87163527,0.5439414,51.295338,6.2091818,0,True,2499.9358,2.7389892,6.2091818
random,4,0,5,0.90221508,0.47715352,32.394515,6.6770078,0,True,2499.9358,2.7389892,6.2091818
random,4,0,6,0.43049628,0.78894672,73.170858,5.739714,0,True,2614.9997,2.7389892,5.739714
random,4,0,7,0.984153,0.36972579,8.6206738,7.5563378,0,True,2651.7624,2.7389892,5.739714
random,4,0,8,0.96893287,0.92902639,129.65764,4.2478008,0,True,2933.1486,2.7389892,4.2478008
random,4,1,9,0.17769259,0.60885162,5.0147216,7.626861,0,True,2942.3492,2.7389892,4.2478008
random,4,1,10,0.70486475,0.94280368,186.26756,4.4135364,0,True,2942.3492,2.7389892,4.2478008
random,4,1,11,0.66565742,0.13339576,13.108963,10.605467,0,True,2942.3492,2.7389892,4.2478008
random,4,1,12,0.4978676,0.49361983,23.155603,7.4695721,0,True,2942.9559,2.7389892,4.2478008
random,4,1,13,0.50022619,0.95858229,135.76919,4.7606294,0,True,2942.9559,2.7389892,4.2478008
random,4,1,14,0.3499374,0.22377115,24.391099,11.54076,0,True,2942.9559,2.7389892,4.2478008
random,4,1,15,0.522087,0.64117092,51.098236,6.2663979,0,True,2942.979,2.7389892,4.2478008
random,4,1,16,0.93910705,0.5820158,43.526731,5.9011243,0,True,2953.4454,2.7389892,4.2478008
random,4,1,17,0.26783339,0.9297747,54.493991,5.6589895,0,True,2962.5276,2.7389892,4.2478008
random,4,2,18,0.49172528,0.67580086,54.761415,6.1539746,0,True,2962.5276,2.7389892,4.2478008
random,4,2,19,0.47603891,0.21698003,4.824957,10.694687,0,True,2962.5276,2.7389892,4.2478008
random,4,2,20,0.69255204,0.77063048,123.84454,5.138214,0,True,2965.5549,2.7389892,4.2478008
random,4,2,21,0.19078851,0.45991601,14.417844,9.0966174,0,True,2965.5549,2.7389892,4.2478008
random,4,2,22,0.36181506,0.17072982,26.482373,12.132183,0,True,2965.5549,2.7389892,4.2478008
random,4,2,23,0.22135166,0.96250741,38.113471,5.5899612,0,True,2978.0526,2.7389892,4.2478008
random,4,2,24,0.88422305,0.38229183,22.700788,7.5215629,0,True,2978.0684,2.7389892,4.2478008
random,4,2,25,0.73947324,0.041968037,19.647407,10.617267,0,True,2978.0684,2.7389892,4.2478008
random,4,2,26,0.9150572,0.53717085,39.969242,6.2187631,0,True,2978.0684,2.7389892,4.2478008
random,4,3,27,0.8202678,0.27593826,23.266748,8.719369,0,True,2978.0684,2.7389892,4.2478008
random,4,3,28,0.37612381,0.34804372,17.726865,9.6730576,0,True,2978.0684,2.7389892,4.2478008
random,4,3,29,0.97243967,0.42945988,15.169406,7.017977,0,True,2985.5094,2.7389892,4.2478008
random,4,3,30,0.49969274,0.95597893,134.74019,4.7719502,0,True,2985.5094,2.7389892,4.2478008
random,4,3,31,0.90319559,0.39501051,20.590623,7.3821145,0,True,2985.5094,2.7389892,4.2478008
random,4,3,32,0.30735792,0.80704794,48.759472,6.1425704,0,True,2985.5094,2.7389892,4.2478008
random,4,3,33,0.10747159,0.39218891,49.575861,8.4735705,0,True,2985.5094,2.7389892,4.2478008
random,4,3,34,0.87643382,0.91764241,155.01882,4.3356712,0,True,2985.5094,2.7389892,4.2478008
random,4,3,35,0.23347627,0.078720151,66.843976,13.749647,0,True,2985.5094,2.7389892,4.2478008
random,4,4,36,0.7877275,0.62177807,85.070271,5.7973907,0,True,2985.5094,2.7389892,4.2478008
random,4,4,37,0.23750482,0.50589319,12.210486,8.6393176,0,True,2985.5094,2.7389892,4.2478008
random,4,4,38,0.071418222,0.70008732,17.250113,4.9080364,0,True,3084.2788,2.7389892,4.2478008
random,4,4,39,0.52672546,0.70464786,66.276827,5.8656742,0,True,3084.2788,2.7389892,4.2478008
random,4,4,40,0.088169373,0.64481502,17.170572,5.7880562,0,True,3084.3767,2.7389892,4.2478008
random,4,4,41,0.37033588,0.49930857,23.604477,8.0605491,0,True,3084.3767,2.7389892,4.2478008
random,4,4,42,0.3354825,0.63408653,32.288325,7.1209909,0,True,3084.3767,2.7389892,4.2478008
random,4,4,43,0.56826094,0.61711476,53.813203,6.276592,0,True,3084.3767,2.7389892,4.2478008
random,4,4,44,0.063379621,0.2251416,129.21084,8.0321553,0,True,3084.3767,2.7389892,4.2478008
