strategy,seed,round,trial,x1,x2,branin,currin,disk_slack,rejected_before,feasible,hv,best_branin,best_currin
lhs,5,0,0,0.58920894,0.45802689,28.399626,7.437729,0.19028002,0,True,954.03847,28.399626,7.437729
lhs,5,0,1,0.76060136,0.92385011,182.13206,4.4134704,-0.047561982,0,False,954.03847,28.399626,7.437729
lhs,5,0,2,0.018840934,0.28218947,157.66922,4.1022767,-0.078955476,0,False,954.03847,28.399626,7.437729
lhs,5,0,3,0.85532332,0.16853549,11.3761,9.8226565,-0.036123382,0,False,954.03847,28.399626,7.437729
lhs,5,0,4,0.27565026,0.467139,16.444336,8.9048638,0.14858735,0,True,1013.1979,16.444336,7.437729
lhs,5,0,5,0.087045253,0.97065127,2.6685092,4.2915991,-0.19204424,0,False,1013.1979,16.444336,7.437729
lhs,5,0,6,0.65361601,0.57815236,64.709349,6.3143993,0.17029433,0,True,1139.458,16.444336,6.3143993
lhs,5,0,7,0.305352,0.80446002,47.671534,6.1646891,0.069416252,0,True,1177.9749,16.444336,6.1646891
lhs,5,0,8,0.95955488,0.76733708,82.512714,4.8909772,-0.082659803,0,False,1177.9749,16.444336,6.1646891
lhs,5,1,9,0.23154308,0.63384491,11.024671,7.518135,0.11001642,0,True,1228.8879,11.024671,6.1646891
lhs,5,1,10,0.70626515,0.29270799,27.980694,8.77641,0.11448471,0,True,1228.8879,11.024671,6.1646891
lhs,5,1,11,0.51226136,0.03167518,6.1553121,11.634305,-0.019478478,0,False,1228.8879,11.024671,6.1646891
lhs,5,1,12,0.6726176,0.14108497,14.290867,10.522163,0.041383164,0,True,1228.8879,11.024671,6.1646891
lhs,5,1,13,0.44940295,0.33596465,10.386251,9.351689,0.17053234,0,True,1231.7618,10.386251,6.1646891
lhs,5,1,14,0.72061976,0.51795085,62.837461,6.6082634,0.15100469,0,True,1231.7618,10.386251,6.1646891
lhs,5,1,15,0.81518256,0.19459105,18.428596,9.6330998,0.0073853288,0,True,1231.7618,10.386251,6.1646891
lhs,5,1,16,0.61997273,0.31315903,16.084436,8.8115761,0.15069699,0,True,1231.7618,10.386251,6.1646891
lhs,5,1,17,0.63716916,0.87640782,145.79196,4.7716658,0.039501773,0,True,1275.3849,10.386251,4.7716658
lhs,5,2,18,0.75436447,0.37018862,39.41445,7.8361851,0.11844772,0,True,1275.3849,10.386251,4.7716658
lhs,5,2,19,0.36613067,0.60348244,32.933418,7.1984402,0.17137039,0,True,1278.9115,10.386251,4.7716658
lhs,5,2,20,0.42378571,0.84908197,86.99697,5.4661179,0.072333158,0,True,1319.984,10.386251,4.7716658
lhs,5,2,21,0.83249255,0.55698193,62.849537,6.1603389,0.086201766,0,True,1320.0891,10.386251,4.7716658
lhs,5,2,22,0.5363417,0.40611972,14.432845,8.1319409,0.18986577,0,True,1320.0891,10.386251,4.7716658
lhs,5,2,23,0.22137966,0.70754379,11.444383,6.9909673,0.079296283,0,True,1334.1106,10.386251,4.7716658
lhs,5,2,24,0.12878392,0.66150255,5.1624951,6.686058,0.036115547,0,True,1384.6473,5.1624951,4.7716658
lhs,5,2,25,0.50652278,0.66744775,54.7007,6.1534715,0.1719187,0,True,1384.9046,5.1624951,4.7716658
lhs,5,2,26,0.8883236,0.78329321,106.56429,4.8611655,-0.03105026,0,False,1384.9046,5.1624951,4.7716658
lhs,5,3,27,0.060298544,0.012776808,214.50468,8.7657435,-0.23072381,0,False,1384.9046,5.1624951,4.7716658
lhs,5,3,28,0.92694053,0.98698436,163.82353,4.0743966,-0.21943198,0,False,1384.9046,5.1624951,4.7716658
lhs,5,3,29,0.14402723,0.50689655,16.494674,8.1797814,0.073235825,0,True,1384.9046,5.1624951,4.7716658
lhs,5,3,30,0.19297349,0.9005489,17.958198,5.8526023,-0.0547047,0,False,1384.9046,5.1624951,4.7716658
lhs,5,3,31,0.33467222,0.53913071,24.089796,7.8947487,0.17113551,0,True,1384.9046,5.1624951,4.7716658
lhs,5,3,32,0.38529912,0.38910852,17.827192,9.120653,0.17454679,0,True,1384.9046,5.1624951,4.7716658
lhs,5,3,33,0.98206547,0.82621588,93.925274,4.6283537,-0.13880392,0,False,1384.9046,5.1624951,4.7716658
lhs,5,3,34,0.46797713,0.079057693,10.356103,11.917681,0.02178211,0,True,1384.9046,5.1624951,4.7716658
lhs,5,3,35,0.32178183,0.25700533,25.336871,11.293007,0.10919187,0,True,1384.9046,5.1624951,4.7716658
lhs,5,4,36,0.090735419,0.10042297,145.46358,10.806367,-0.1271593,0,False,1384.9046,5.1624951,4.7716658
lhs,5,4,37,0.9481944,0.43821662,18.768244,6.959462,-0.0046954093,0,False,1384.9046,5.1624951,4.7716658
lhs,5,4,38,0.24788344,0.20899585,38.923361,12.464649,0.051753827,0,True,1384.9046,5.1624951,4.7716658
lhs,5,4,39,0.79851262,0.058692178,17.470425,10.465722,-0.083862375,0,False,1384.9046,5.1624951,4.7716658
lhs,5,4,40,0.89154501,0.93563836,156.61822,4.2631878,-0.14308828,0,False,1384.9046,5.1624951,4.7716658
lhs,5,4,41,0.023356197,0.12508967,214.36576,5.2980492,-0.16774707,0,False,1384.9046,5.1624951,4.7716658
lhs,5,4,42,0.17614466,0.22235034,54.114996,12.165141,0.018028385,0,True,1384.9046,5.1624951,4.7716658
lhs,5,4,43,0.41663684,0.7239002,57.194791,6.1554243,0.14291928,0,True,1384.9046,5.1624951,4.7716658
lhs,5,4,44,0.5689989,0.74551747,85.671271,5.5217499,0.13496032,0,True,1385.742,5.1624951,4.7716658
